Format Version,1.24,Take Name,SmallRed-2,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-04-10 10.45.07.026 AM,Capture Start Frame,452880,Total Frames in Take,1201,Total Exported Frames,1201,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,V3Glider,V3Glider,V3Glider,V3Glider,V3Glider,V3Glider,V3Glider:M0,V3Glider:M0,V3Glider:M0,V3Glider:M1,V3Glider:M1,V3Glider:M1,V3Glider:M2,V3Glider:M2,V3Glider:M2,V3Glider:M3,V3Glider:M3,V3Glider:M3
,ID,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,"F4AA859DF74B11EEBD9122A53CA86A8A","F4AA859DF74B11EEBD9122A53CA86A8A","F4AA859DF74B11EEBD9122A53CA86A8A","F4AA859FF74B11EEBD9122A53CA86A8A","F4AA859FF74B11EEBD9122A53CA86A8A","F4AA859FF74B11EEBD9122A53CA86A8A","F4AA859EF74B11EEBD9122A53CA86A8A","F4AA859EF74B11EEBD9122A53CA86A8A","F4AA859EF74B11EEBD9122A53CA86A8A","F4AA85A0F74B11EEBD9122A53CA86A8A","F4AA85A0F74B11EEBD9122A53CA86A8A","F4AA85A0F74B11EEBD9122A53CA86A8A"
,,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,176.905075,2.155824,-179.580490,3134.296875,1639.172119,-333.658234,3132.293945,1656.561646,-332.742676,3067.736572,1642.199463,-365.222260,3119.971436,1641.507568,-475.180695,3159.020508,1606.593506,-493.006317
1,0.004167,176.937286,2.162722,-179.576508,3134.265869,1639.183716,-333.618256,3132.266602,1656.584473,-332.686737,3067.732178,1642.238647,-365.198334,3119.942383,1641.601440,-475.134430,3158.998047,1606.693237,-492.978882
2,0.008333,176.972549,2.150839,-179.564819,3134.248779,1639.190796,-333.603821,3132.254150,1656.601196,-332.654388,3067.716064,1642.286865,-365.167206,3119.903076,1641.687378,-475.096802,3159.016357,1606.789185,-492.975159
3,0.012500,177.016464,2.122917,-179.569260,3134.239258,1639.203369,-333.620972,3132.221436,1656.612915,-332.634064,3067.693115,1642.321289,-365.144012,3119.840332,1641.805908,-475.092010,3159.006836,1606.896851,-492.979675
4,0.016667,177.055725,2.128094,-179.569839,3134.204590,1639.207275,-333.610291,3132.188721,1656.627075,-332.597931,3067.672119,1642.350952,-365.139160,3119.812500,1641.899292,-475.083191,3159.015137,1607.012451,-492.984741
5,0.020833,177.114120,2.138861,-179.558151,3134.169922,1639.175049,-333.600281,3132.175781,1656.625732,-332.566528,3067.634277,1642.360474,-365.132050,3119.826172,1642.015991,-475.069824,3159.026123,1607.119629,-493.005798
6,0.025000,177.137985,2.151372,-179.575623,3134.160889,1639.213623,-333.590637,3132.158203,1656.641968,-332.553223,3067.635498,1642.392944,-365.142029,3119.827637,1642.106201,-475.063690,3159.042236,1607.248047,-493.002380
7,0.029167,177.169556,2.165844,-179.581070,3134.146240,1639.230957,-333.572693,3132.131104,1656.644775,-332.535828,3067.623047,1642.420288,-365.133972,3119.846680,1642.198242,-475.055328,3159.043945,1607.369019,-493.015259
8,0.033333,177.200958,2.176000,-179.593170,3134.137695,1639.247070,-333.564758,3132.103760,1656.639404,-332.521118,3067.614014,1642.437866,-365.131256,3119.858398,1642.287964,-475.058716,3159.044678,1607.487793,-493.026062
9,0.037500,177.242676,2.165284,-179.591431,3134.118164,1639.229248,-333.571838,3132.086426,1656.645264,-332.509949,3067.607422,1642.449585,-365.130371,3119.812988,1642.375488,-475.033325,3159.060547,1607.554688,-493.032867
10,0.041667,177.272354,2.177628,-179.586594,3134.085205,1639.228760,-333.569122,3132.066895,1656.649902,-332.495239,3067.575684,1642.470947,-365.138977,3119.820068,1642.443604,-475.031036,3159.077881,1607.639160,-493.039429
11,0.045833,177.298737,2.193949,-179.582977,3134.068604,1639.233276,-333.561676,3132.036621,1656.646851,-332.479645,3067.564697,1642.488159,-365.147644,3119.851562,1642.524292,-475.028687,3159.086182,1607.702271,-493.027435
12,0.050000,177.325989,2.214347,-179.573517,3134.035400,1639.220459,-333.551819,3132.017090,1656.641479,-332.472961,3067.536865,1642.500732,-365.156860,3119.876953,1642.578003,-475.015442,3159.113770,1607.765503,-493.038513
13,0.054167,177.350388,2.236636,-179.561066,3134.022949,1639.215576,-333.530243,3131.992676,1656.642578,-332.445129,3067.547852,1642.520508,-365.161621,3119.920898,1642.646851,-475.008179,3159.123779,1607.815308,-493.026428
14,0.058333,177.358948,2.248309,-179.565002,3134.002441,1639.229858,-333.508392,3131.966309,1656.648438,-332.419220,3067.520508,1642.530518,-365.147430,3119.938965,1642.683105,-474.986664,3159.145020,1607.847656,-492.990875
15,0.062500,177.363632,2.249719,-179.562866,3134.008301,1639.239990,-333.497253,3131.968506,1656.659424,-332.403564,3067.539795,1642.551514,-365.139801,3119.940918,1642.698853,-474.974762,3159.171631,1607.877808,-492.985291
