,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,V3Glider,V3Glider,V3Glider,V3Glider,V3Glider,V3Glider,V3Glider,V3Glider:M0,V3Glider:M0,V3Glider:M0,V3Glider:M1,V3Glider:M1,V3Glider:M1,V3Glider:M2,V3Glider:M2,V3Glider:M2,V3Glider:M3,V3Glider:M3,V3Glider:M3,V3Glider:M4,V3Glider:M4,V3Glider:M4,V3Glider:M5,V3Glider:M5,V3Glider:M5
,ID,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,"1A031FEEFDD811EEBD9122A53CA8728A","1A031FEEFDD811EEBD9122A53CA8728A","1A031FEEFDD811EEBD9122A53CA8728A","1A031FF0FDD811EEBD9122A53CA8728A","1A031FF0FDD811EEBD9122A53CA8728A","1A031FF0FDD811EEBD9122A53CA8728A","1A031FEFFDD811EEBD9122A53CA8728A","1A031FEFFDD811EEBD9122A53CA8728A","1A031FEFFDD811EEBD9122A53CA8728A","1A031FF1FDD811EEBD9122A53CA8728A","1A031FF1FDD811EEBD9122A53CA8728A","1A031FF1FDD811EEBD9122A53CA8728A","1A031FF2FDD811EEBD9122A53CA8728A","1A031FF2FDD811EEBD9122A53CA8728A","1A031FF2FDD811EEBD9122A53CA8728A","1A031FEDFDD811EEBD9122A53CA8728A","1A031FEDFDD811EEBD9122A53CA8728A","1A031FEDFDD811EEBD9122A53CA8728A"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
10,0.041667,-0.146189,0.986726,-0.069876,0.010840,2456.889893,1574.211914,-60.481670,2450.927002,1592.552856,-63.915485,2393.837646,1554.004883,-90.898422,2443.207275,1559.097412,-199.673065,2484.588379,1535.004517,-221.111389,2478.900879,1572.808960,99.915588,2435.462402,1589.219360,66.747765
11,0.045833,-0.145455,0.986803,-0.070381,0.010498,2457.186768,1575.961060,-60.391335,2451.368164,1594.355225,-63.788868,2394.003662,1555.649658,-90.637436,2443.469482,1560.757080,-199.567749,2484.663818,1536.523926,-221.059448,2479.283691,1574.708374,100.012619,2435.684082,1591.116211,66.784744
12,0.050000,-0.142676,0.987188,-0.070762,0.009807,2457.324951,1577.659180,-60.326054,2451.548584,1596.042847,-63.672810,2394.098877,1557.823242,-90.653488,2443.143555,1562.229736,-199.563171,2484.535400,1537.988037,-220.967957,2479.549316,1576.382812,99.977852,2436.107422,1593.081665,66.801651
13,0.054167,-0.142393,0.987194,-0.071335,0.009126,2457.583740,1579.424438,-60.231888,2451.916016,1597.899780,-63.607052,2394.315186,1559.506714,-90.391792,2443.324219,1563.998535,-199.392197,2484.560059,1539.487549,-220.915649,2480.027588,1578.470581,100.170036,2436.408203,1594.987549,66.888840
14,0.058333,-0.139165,0.987628,-0.071747,0.008760,2457.778809,1581.291260,-60.123344,2452.204834,1599.742310,-63.529179,2394.432373,1561.761719,-90.418022,2443.425781,1565.695068,-199.383835,2484.427979,1541.061646,-220.779984,2480.215820,1580.232178,100.177795,2436.791504,1597.112549,67.119225
15,0.062500,-0.136986,0.987908,-0.072081,0.008765,2457.937256,1583.048096,-60.050758,2452.357178,1601.447754,-63.456558,2394.696289,1563.901245,-90.266991,2443.581299,1567.609985,-199.189682,2484.522461,1542.625244,-220.638596,2480.042236,1582.080078,100.385506,2437.251221,1599.068481,67.078598
16,0.066667,-0.136294,0.987975,-0.072585,0.007777,2458.274170,1584.968384,-59.947083,2452.820312,1603.453003,-63.428143,2394.445312,1565.718140,-89.639137,2443.637939,1569.282959,-199.077194,2484.437744,1544.310669,-220.503143,2480.676758,1584.068237,100.469734,2437.692383,1601.140625,67.191406
17,0.070833,-0.134854,0.988159,-0.072831,0.007246,2458.640137,1586.873169,-59.898232,2453.071045,1605.293823,-63.373394,2394.661133,1567.938965,-89.379906,2443.831787,1571.253174,-199.003082,2484.658447,1546.050415,-220.493393,2481.353271,1585.967651,100.341759,2438.095215,1603.289429,67.191833
18,0.075000,-0.132897,0.988395,-0.073310,0.006245,2458.967041,1588.863159,-59.833324,2453.564453,1607.392090,-63.341557,2394.546875,1570.201416,-89.199448,2443.840332,1573.048706,-198.937225,2484.530518,1547.758057,-220.373917,2481.996582,1588.115356,100.402405,2438.593994,1605.402100,67.297653
19,0.079167,-0.131169,0.988599,-0.073668,0.006245,2459.242920,1590.812988,-59.720730,2453.892822,1609.213379,-63.321098,2395.071777,1572.370728,-89.111259,2444.129395,1575.015991,-198.838226,2484.786621,1549.499268,-220.339752,2481.897949,1590.134888,100.676849,2439.174805,1607.567261,67.551125
