Format Version,1.24,Take Name,Q3-standing_01,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-13 05.17.33.609 PM,Capture Start Frame,570350,Total Frames in Take,601,Total Exported Frames,601,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,gliderPink02,gliderPink02,gliderPink02,gliderPink02,gliderPink02,gliderPink02,gliderPink02:Marker 001,gliderPink02:Marker 001,gliderPink02:Marker 001,gliderPink02:Marker 002,gliderPink02:Marker 002,gliderPink02:Marker 002,gliderPink02:Marker 003,gliderPink02:Marker 003,gliderPink02:Marker 003,gliderPink02:Marker 004,gliderPink02:Marker 004,gliderPink02:Marker 004,gliderPink02:Marker 005,gliderPink02:Marker 005,gliderPink02:Marker 005,gliderPink02:Marker 006,gliderPink02:Marker 006,gliderPink02:Marker 006
,ID,1D273788DFF111EE710A5BE854E45492,1D273788DFF111EE710A5BE854E45492,1D273788DFF111EE710A5BE854E45492,1D273788DFF111EE710A5BE854E45492,1D273788DFF111EE710A5BE854E45492,1D273788DFF111EE710A5BE854E45492,"C960308DED4311EEBD9122A53CA8688A","C960308DED4311EEBD9122A53CA8688A","C960308DED4311EEBD9122A53CA8688A","C960308BED4311EEBD9122A53CA8688A","C960308BED4311EEBD9122A53CA8688A","C960308BED4311EEBD9122A53CA8688A","C960308CED4311EEBD9122A53CA8688A","C960308CED4311EEBD9122A53CA8688A","C960308CED4311EEBD9122A53CA8688A","C960308FED4311EEBD9122A53CA8688A","C960308FED4311EEBD9122A53CA8688A","C960308FED4311EEBD9122A53CA8688A","C9603090ED4311EEBD9122A53CA8688A","C9603090ED4311EEBD9122A53CA8688A","C9603090ED4311EEBD9122A53CA8688A","C960308EED4311EEBD9122A53CA8688A","C960308EED4311EEBD9122A53CA8688A","C960308EED4311EEBD9122A53CA8688A"
,,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,5.402543,-16.100174,-6.530834,-2416.534424,1628.705811,-1274.281616,-2389.053467,1624.551636,-1132.195923,,,,-2568.270264,1648.104736,-1306.752075,,,,-2431.535645,1599.208740,-1114.104492,-2403.608643,1637.337891,-1255.348022
1,0.008333,4.952236,-16.906507,-5.987086,-2419.662598,1634.259033,-1270.251465,-2394.589844,1632.118286,-1127.741943,,,,-2571.093994,1652.124390,-1304.871582,,,,-2436.941162,1606.309814,-1109.870239,-2407.084229,1643.272461,-1251.058105
2,0.016667,4.589514,-17.669218,-5.434050,-2422.963379,1639.995239,-1266.434692,-2399.799072,1639.329712,-1123.551758,,,,-2573.966309,1656.315796,-1303.405884,,,,-2442.189941,1613.430786,-1106.106689,-2410.853271,1649.293335,-1247.137573
3,0.025000,4.184778,-18.406775,-4.997015,-2425.717773,1645.586670,-1262.707520,-2404.504883,1646.319824,-1119.429932,,,,-2576.362549,1660.568726,-1301.754028,,,,-2447.141113,1620.418335,-1102.282715,-2413.816650,1655.177368,-1243.426147
4,0.033333,3.617390,-19.151749,-4.828624,-2428.348145,1650.732666,-1259.238770,-2408.963867,1653.054810,-1115.667847,,,,-2578.440918,1664.995850,-1300.435059,,,,-2451.743408,1627.342285,-1099.061646,-2416.798828,1660.560303,-1239.924438
5,0.041667,3.086552,-19.838074,-4.708479,-2430.900146,1655.720337,-1255.869019,-2413.220947,1659.564453,-1112.222290,,,,-2580.415039,1669.388916,-1299.012085,,,,-2456.119873,1633.867188,-1095.812500,-2419.688232,1665.731201,-1236.437622
6,0.050000,2.444497,-20.566383,-4.752518,-2433.025879,1660.408936,-1252.861938,-2417.298584,1665.806152,-1109.067749,,,,-2582.248291,1673.785522,-1298.055542,,,,-2460.413818,1640.329224,-1092.932007,-2421.738770,1670.614990,-1233.393433
7,0.058333,2.005086,-21.239828,-4.680959,-2435.481934,1665.206665,-1250.169312,-2421.304688,1671.779297,-1106.292847,,,,-2583.944336,1678.118042,-1297.270264,,,,-2464.590332,1646.416260,-1090.347412,-2424.696777,1675.573730,-1230.608398
8,0.066667,1.407356,-21.870079,-4.789414,-2437.692383,1669.469360,-1247.821899,-2425.051270,1677.481201,-1103.828125,,,,-2585.670166,1682.289795,-1296.736816,,,,-2468.642090,1652.459961,-1088.218872,-2427.110352,1680.057983,-1228.190674
9,0.075000,0.794988,-22.511808,-4.932584,-2439.700439,1673.529663,-1245.664673,-2428.791016,1682.866699,-1101.682373,,,,-2587.271240,1686.177490,-1296.385742,,,,-2472.452148,1657.984375,-1086.257446,-2429.091553,1684.219116,-1226.051636
10,0.083333,0.430611,-23.108191,-4.894074,-2441.892334,1677.705933,-1243.872925,-2432.313477,1687.925293,-1099.728149,,,,-2588.696777,1689.919922,-1296.151245,,,,-2476.262451,1663.272339,-1084.736694,-2431.735596,1688.556763,-1224.269897
11,0.091667,-0.042535,-23.743298,-4.988101,-2443.804199,1681.268433,-1242.243896,-2435.710693,1692.612549,-1098.150146,,,,-2589.961426,1693.309326,-1296.219482,,,,-2479.951660,1668.077148,-1083.422119,-2433.888184,1692.243652,-1222.562134
12,0.100000,-0.532633,-24.326866,-5.168242,-2445.411865,1684.615479,-1240.990723,-2439.062256,1696.993530,-1096.816284,,,,-2591.103027,1696.670654,-1296.449829,,,,-2483.300049,1672.634277,-1082.390747,-2435.445312,1695.699951,-1221.408203
13,0.108333,-0.902646,-24.960016,-5.246584,-2446.964844,1687.861816,-1239.827759,-2442.277588,1701.135864,-1095.779541,,,,-2592.207764,1699.759888,-1297.052124,,,,-2486.631592,1676.806396,-1081.598755,-2437.050049,1699.035156,-1220.131104
14,0.116667,-1.066581,-25.524303,-5.154428,-2448.531982,1691.111572,-1239.034546,-2445.260986,1704.852661,-1094.981079,,,,-2593.143311,1702.559692,-1297.697754,,,,-2489.710205,1680.597534,-1081.146362,-2438.894775,1702.382935,-1219.293701
15,0.125000,-1.169526,-26.092445,-5.050169,-2450.297363,1694.200195,-1238.426270,-2448.229004,1708.258911,-1094.345459,,,,-2594.141357,1705.220947,-1298.590820,,,,-2492.922607,1684.094849,-1080.934692,-2441.144531,1705.559082,-1218.603516
16,0.133333,-1.314554,-26.614334,-5.008015,-2451.774658,1696.887695,-1237.989990,-2451.002930,1711.408691,-1094.003296,,,,-2594.985840,1707.640991,-1299.444580,,,,-2495.847412,1687.234009,-1080.909790,-2442.897705,1708.338989,-1218.112915
17,0.141667,-1.561583,-27.066757,-5.085312,-2453.236816,1699.321533,-1237.857300,-2453.711182,1714.386841,-1093.838501,,,,-2596.114014,1709.982788,-1300.537598,,,,-2498.634766,1690.217041,-1081.025879,-2444.303467,1710.791626,-1218.055542
18,0.150000,-1.733603,-27.504374,-5.055443,-2454.706299,1701.731323,-1237.836914,-2456.223877,1717.263428,-1093.792358,,,,-2597.156250,1712.071899,-1301.710571,,,,-2501.299072,1693.061401,-1081.281128,-2445.932129,1713.277344,-1217.956421
19,0.158333,-1.899759,-27.934269,-5.017711,-2456.172852,1704.028320,-1237.793579,-2458.657715,1719.991699,-1093.907715,,,,-2597.928223,1714.041138,-1302.616577,,,,-2503.860107,1695.881226,-1081.686646,-2447.775146,1715.661255,-1217.865967
20,0.166667,-2.224760,-28.288673,-5.129020,-2457.459961,1705.827148,-1237.865845,-2460.940430,1722.541626,-1094.044800,,,,-2599.037109,1715.754883,-1303.755859,,,,-2506.225342,1698.491699,-1081.980103,-2448.932617,1717.524048,-1217.939697
21,0.175000,-2.512334,-28.609892,-5.190968,-2458.780762,1707.658813,-1238.035400,-2463.262207,1724.984497,-1094.388306,,,,-2600.113281,1717.380859,-1304.774536,,,,-2508.432373,1700.995972,-1082.338989,-2450.192871,1719.440430,-1218.093140
22,0.183333,-2.751760,-28.899883,-5.198159,-2460.136719,1709.309937,-1238.091309,-2465.205811,1727.284790,-1094.543945,,,,-2600.987061,1718.752563,-1305.539673,,,,-2510.488525,1703.258667,-1082.658691,-2451.788574,1721.154907,-1218.118286
23,0.191667,-2.985853,-29.168716,-5.217432,-2461.318604,1710.817505,-1238.186890,-2467.154785,1729.327515,-1094.743530,,,,-2602.066406,1719.987671,-1306.451050,,,,-2512.517822,1705.378784,-1082.961060,-2452.894531,1722.757202,-1218.233765
24,0.200000,-3.054119,-29.408813,-5.068792,-2462.889648,1712.347778,-1238.359985,-2468.987305,1731.178345,-1094.964233,,,,-2602.994873,1721.004150,-1307.090820,,,,-2514.513672,1707.239014,-1083.432495,-2454.980713,1724.358398,-1218.347290
25,0.208333,-3.224735,-29.657866,-5.061457,-2463.672607,1713.516602,-1238.399414,-2470.720215,1732.781860,-1095.115845,,,,-2603.734619,1721.915039,-1307.687500,,,,-2516.139893,1708.846924,-1083.662476,-2455.376465,1725.590942,-1218.427124
26,0.216667,-3.254381,-29.844057,-4.909165,-2464.941650,1714.818237,-1238.589966,-2472.177979,1734.312988,-1095.266113,,,,-2604.528564,1722.736938,-1308.447266,,,,-2517.738525,1710.313110,-1083.946777,-2457.263916,1726.959473,-1218.657837
27,0.225000,-3.475015,-30.056793,-5.002498,-2465.768799,1715.594482,-1238.706421,-2473.751221,1735.566406,-1095.428711,,,,-2605.148193,1723.482788,-1309.029297,,,,-2519.255371,1711.576538,-1084.198608,-2457.914307,1727.740479,-1218.846313
28,0.233333,-3.541078,-30.271036,-4.973577,-2466.458252,1716.463745,-1238.763794,-2475.020752,1736.586914,-1095.578491,,,,-2605.836426,1724.131104,-1309.818848,,,,-2520.595703,1712.605103,-1084.455322,-2458.488281,1728.671021,-1218.826660
29,0.241667,-3.558397,-30.494688,-4.894382,-2467.332520,1717.315552,-1238.917847,-2476.462646,1737.574951,-1095.786011,,,,-2606.349365,1724.720825,-1310.427979,,,,-2521.948486,1713.582275,-1084.845337,-2459.609131,1729.563843,-1218.974365
30,0.250000,-3.697290,-30.726860,-4.945473,-2468.043945,1717.866455,-1238.979858,-2477.652100,1738.397827,-1095.973022,,,,-2606.732910,1725.192749,-1310.950317,,,,-2523.375244,1714.476685,-1085.153442,-2460.383545,1730.162598,-1219.010620
31,0.258333,-3.824446,-30.916639,-5.051702,-2468.666260,1718.317383,-1239.024536,-2478.831787,1739.102173,-1096.077148,,,,-2607.187500,1725.754150,-1311.574951,,,,-2524.496826,1715.144897,-1085.386719,-2460.999023,1730.608643,-1219.037354
32,0.266667,-3.983444,-31.122416,-5.187727,-2469.239014,1718.659302,-1239.023438,-2479.992188,1739.696289,-1096.161255,,,,-2607.554932,1726.232422,-1312.083740,,,,-2525.752686,1715.811279,-1085.572388,-2461.536377,1730.969360,-1219.033691
33,0.275000,-3.995557,-31.298338,-5.179268,-2469.896729,1719.075439,-1239.025757,-2480.963867,1740.159790,-1096.229248,,,,-2607.828613,1726.589722,-1312.477661,,,,-2526.733154,1716.247070,-1085.710693,-2462.414062,1731.384766,-1218.997314
34,0.283333,-4.048650,-31.463375,-5.255293,-2470.416504,1719.358765,-1238.957153,-2481.970459,1740.489990,-1096.187500,,,,-2608.109131,1726.991089,-1312.799072,,,,-2527.650391,1716.620239,-1085.834351,-2462.987305,1731.657471,-1218.922485
35,0.291667,-4.137516,-31.614647,-5.397615,-2470.860107,1719.550293,-1238.852173,-2482.727295,1740.708008,-1096.086060,,,,-2608.425049,1727.421997,-1313.146851,,,,-2528.655762,1716.980469,-1085.875977,-2463.393066,1731.854126,-1218.801880
36,0.300000,-4.215157,-31.731682,-5.565736,-2471.247070,1719.689453,-1238.658203,-2483.408447,1740.845459,-1095.890259,,,,-2608.697266,1727.878052,-1313.336670,,,,-2529.406982,1717.217407,-1085.801514,-2463.754150,1731.979248,-1218.609497
37,0.308333,-4.162240,-31.868484,-5.618165,-2471.637207,1719.938721,-1238.395020,-2484.100342,1740.871948,-1095.571899,,,,-2608.700439,1728.332886,-1313.350952,,,,-2530.018311,1717.317749,-1085.653564,-2464.403809,1732.205444,-1218.316895
38,0.316667,-4.109050,-31.978809,-5.729287,-2471.931641,1720.094604,-1238.017578,-2484.509277,1740.789185,-1095.136108,,,,-2608.812500,1728.824951,-1313.185425,,,,-2530.723145,1717.259644,-1085.409668,-2464.708984,1732.306519,-1217.945435
39,0.325000,-4.148844,-32.089478,-5.928176,-2472.014893,1720.074707,-1237.452271,-2484.957764,1740.645264,-1094.725830,,,,-2608.942627,1729.269531,-1312.951050,,,,-2531.164795,1717.235107,-1085.115967,-2464.576904,1732.238647,-1217.237305
40,0.333333,-4.071567,-32.176620,-5.967731,-2472.256836,1720.258911,-1236.988281,-2485.421143,1740.587280,-1094.247925,,,,-2608.910889,1729.659668,-1312.544922,,,,-2531.585449,1717.198242,-1084.729492,-2464.989502,1732.403564,-1216.760132
41,0.341667,-3.928050,-32.227718,-5.962316,-2472.462646,1720.516602,-1236.460449,-2485.769531,1740.468994,-1093.678101,,,,-2608.999268,1730.083740,-1312.157593,,,,-2531.937988,1717.058228,-1084.081299,-2465.227051,1732.596680,-1216.241821
