Format Version,1.24,Take Name,V2_0325_Xaxis_001,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-03-25 05.06.28.143 PM,Capture Start Frame,1418315,Total Frames in Take,899,Total Exported Frames,899,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,V2Glider,V2Glider,V2Glider,V2Glider,V2Glider,V2Glider,V2Glider:Marker 001,V2Glider:Marker 001,V2Glider:Marker 001,V2Glider:Marker 002,V2Glider:Marker 002,V2Glider:Marker 002,V2Glider:Marker 003,V2Glider:Marker 003,V2Glider:Marker 003,V2Glider:Marker 004,V2Glider:Marker 004,V2Glider:Marker 004,V2Glider:Marker 005,V2Glider:Marker 005,V2Glider:Marker 005,V2Glider:Marker 006,V2Glider:Marker 006,V2Glider:Marker 006,V2Glider:Marker 001,V2Glider:Marker 001,V2Glider:Marker 001,V2Glider:Marker 002,V2Glider:Marker 002,V2Glider:Marker 002,V2Glider:Marker 003,V2Glider:Marker 003,V2Glider:Marker 003,V2Glider:Marker 004,V2Glider:Marker 004,V2Glider:Marker 004,V2Glider:Marker 005,V2Glider:Marker 005,V2Glider:Marker 005,V2Glider:Marker 006,V2Glider:Marker 006,V2Glider:Marker 006
,ID,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,"8B5C973EEAEB11EEBD9122A53CA8668A","8B5C973EEAEB11EEBD9122A53CA8668A","8B5C973EEAEB11EEBD9122A53CA8668A","8B5C973FEAEB11EEBD9122A53CA8668A","8B5C973FEAEB11EEBD9122A53CA8668A","8B5C973FEAEB11EEBD9122A53CA8668A","8B5C9741EAEB11EEBD9122A53CA8668A","8B5C9741EAEB11EEBD9122A53CA8668A","8B5C9741EAEB11EEBD9122A53CA8668A","8B5C973DEAEB11EEBD9122A53CA8668A","8B5C973DEAEB11EEBD9122A53CA8668A","8B5C973DEAEB11EEBD9122A53CA8668A","8B5C9740EAEB11EEBD9122A53CA8668A","8B5C9740EAEB11EEBD9122A53CA8668A","8B5C9740EAEB11EEBD9122A53CA8668A","8B5C9742EAEB11EEBD9122A53CA8668A","8B5C9742EAEB11EEBD9122A53CA8668A","8B5C9742EAEB11EEBD9122A53CA8668A"
,,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,1.563536,-2.616163,-10.376079,-2823.364990,1538.759766,183.768433,-2811.719238,1540.980835,322.718048,-2755.800537,1529.023438,215.130966,-2800.378174,1541.468872,56.060909,-2819.991211,1558.249756,184.703094,-2849.904785,1514.553833,348.491180,-2842.972412,1517.314697,25.445028,-2811.958252,1541.164307,322.963257,-2756.102051,1528.694092,215.245743,-2800.576416,1541.463257,56.238701,-2820.258301,1558.088135,184.654221,-2849.104736,1514.724121,348.275269,-2842.543457,1517.510376,25.116852
1,0.004167,1.567342,-2.623677,-10.329872,-2823.704102,1538.773438,183.952026,-2812.081055,1540.999756,322.903503,-2756.136719,1529.090454,215.324631,-2800.699951,1541.504761,56.248100,-2820.345947,1558.266113,184.887787,-2850.249756,1514.541382,348.670013,-2843.270020,1517.317383,25.624990,-2812.344727,1541.155273,323.164368,-2756.429688,1528.758057,215.395264,-2800.905273,1541.495605,56.399040,-2820.600342,1558.134033,184.843979,-2849.411865,1514.736694,348.473236,-2842.808350,1517.509155,25.293497
2,0.008333,1.578532,-2.608689,-10.339046,-2824.038086,1538.819336,184.130630,-2812.377930,1541.015625,323.079437,-2756.463867,1529.119629,215.483276,-2801.067383,1541.572998,56.421146,-2820.676758,1558.311401,185.069443,-2850.543457,1514.557983,348.850769,-2843.649658,1517.398315,25.804445,-2812.640625,1541.127075,323.281708,-2756.742676,1528.806030,215.548798,-2801.268799,1541.532104,56.605835,-2820.908203,1558.267334,185.073639,-2849.720459,1514.739380,348.669769,-2843.204834,1517.565308,25.423716
3,0.012500,1.584197,-2.592957,-10.331845,-2824.384766,1538.850220,184.319382,-2812.687256,1541.035156,323.265259,-2756.800537,1529.156616,215.652817,-2801.448975,1541.618774,56.603924,-2821.025635,1558.342529,185.259094,-2850.842529,1514.569946,349.044403,-2844.036377,1517.441406,25.996521,-2812.941895,1541.142578,323.440002,-2757.062012,1528.846680,215.739517,-2801.635498,1541.561279,56.773163,-2821.261230,1558.338379,185.278336,-2850.052979,1514.722046,348.886536,-2843.615234,1517.600708,25.603064
4,0.016667,1.587086,-2.579535,-10.314257,-2824.737793,1538.889526,184.517746,-2813.009766,1541.073120,323.461060,-2757.143799,1529.215942,215.835571,-2801.832031,1541.670044,56.797222,-2821.384766,1558.382812,185.457413,-2851.150635,1514.594971,349.247864,-2844.418213,1517.480347,26.198551,-2813.259521,1541.156738,323.590485,-2757.365234,1528.885498,215.905029,-2801.999268,1541.596436,56.944229,-2821.670410,1558.493408,185.574387,-2850.359375,1514.728394,349.085449,-2844.008057,1517.595093,25.785574
5,0.020833,1.583377,-2.578025,-10.252492,-2825.075928,1538.891357,184.727921,-2813.350586,1541.103271,323.671021,-2757.471680,1529.294067,216.047073,-2802.172363,1541.682007,57.007164,-2821.743652,1558.388306,185.665405,-2851.463135,1514.587036,349.460724,-2844.732666,1517.443115,26.411087,-2813.564697,1541.168335,323.739624,-2757.716797,1528.958130,216.111465,-2802.355225,1541.603516,57.107391,-2822.067871,1558.493896,185.795380,-2850.681885,1514.739624,349.291077,-2844.275879,1517.575928,26.133381
